Date,GAP,GLD,GM,JPM,META,NVDA,PLTR,SPY
2024-05-16,21.127927780151367,220.02999877929688,45.416969299316406,197.8807373046875,471.5098571777344,94.3280029296875,21.649999618530273,522.045654296875
2024-05-17,20.972572326660156,223.66000366210938,45.30805206298828,200.14816284179688,470.1946716308594,92.44861602783203,21.760000228881836,522.7960815429688
2024-05-20,20.60361099243164,224.55999755859375,44.66447448730469,191.14694213867188,467.1358337402344,94.74887084960938,21.6200008392334,523.3984985351562
2024-05-21,20.865772247314453,224.22999572753906,44.47634506225586,194.99761962890625,462.941162109375,95.35466766357422,21.239999771118164,524.6820068359375
2024-05-22,19.953073501586914,220.11000061035156,43.53573226928711,193.8150634765625,466.0796813964844,94.91880798339844,21.170000076293945,523.1713256835938
2024-05-23,20.25406837463379,215.72000122070312,43.29810333251953,192.45655822753906,464.08697509765625,103.76490783691406,20.719999313354492,519.3499755859375
2024-05-24,20.37058448791504,215.9199981689453,43.674346923828125,196.16065979003906,476.48175048828125,106.43402099609375,21.010000228881836,522.7863159179688
2024-05-28,19.758882522583008,218.19000244140625,42.664424896240234,194.97808837890625,478.17559814453125,113.86357879638672,21.049999237060547,523.1515502929688
2024-05-29,21.021121978759766,216.16000366210938,42.218868255615234,193.6195831298828,472.6357421875,114.78727722167969,20.940000534057617,519.4882202148438
2024-05-30,21.86585235595703,216.57000732421875,42.981266021728516,194.8119354248047,465.3523254394531,110.46369934082031,21.729999542236328,516.0420532226562
2024-05-31,28.11878204345703,215.3000030517578,44.545658111572266,198.03712463378906,465.13311767578125,109.59699249267578,21.68000030517578,520.7422485351562
2024-06-03,28.186752319335938,217.22000122070312,45.28825378417969,197.24549865722656,475.75439453125,114.96221923828125,21.31999969482422,521.1668090820312
2024-06-04,26.079784393310547,215.27000427246094,44.81298828125,194.64578247070312,475.2561950683594,116.39875030517578,22.100000381469727,521.7494506835938
2024-06-05,25.82733917236328,217.82000732421875,45.16943359375,192.78884887695312,493.260498046875,122.39977264404297,22.959999084472656,527.950439453125
2024-06-06,25.011735916137695,219.42999267578125,45.1595344543457,192.44679260253906,491.96527099609375,120.95825958251953,23.790000915527344,527.940673828125
2024-06-07,24.730161666870117,211.60000610351562,45.38786697387695,195.41787719726562,491.16815185546875,120.8482894897461,23.309999465942383,527.2987670898438
2024-06-10,25.32244110107422,213.5399932861328,47.224422454833984,195.08558654785156,500.77313232421875,121.74999237060547,23.1299991607666,528.9280395507812
2024-06-11,26.04094696044922,214.14999389648438,47.85977554321289,189.95457458496094,505.62542724609375,120.88021850585938,23.850000381469727,530.2018432617188
2024-06-12,25.68169593811035,214.72000122070312,48.50505447387695,187.188720703125,506.9904479980469,125.16914367675781,23.770000457763672,534.5564575195312
