Unnamed: 0,simulation_id,run_date,initial_portfolio_value,num_simulations,returns,volatility,sharpe_ratio,prob_loss,VaR_95,weights
11,sim_7d874e6a-f73f-4194-b8c6-7bae5a1c6246,2025-06-01,100000,1000,0.3392042866524248,0.3157070871308773,1.0427522854941556,0.088,-0.0345605004464621,"{'GAP': 0.1320073498575131, 'GLD': 0.4729920176922865, 'GM': 0.01024306031519288, 'JPM': 0.019905714934468337, 'META': 0.031424557940228186, 'NVDA': 0.11692591069709234, 'PLTR': 0.049746746247882896, 'SPY': 0.16675464231533568}"
12,sim_8aaaa004-9af4-4fc2-b689-02cbec372e31,2025-06-01,100000,1000,0.690534227679181,0.6835144442822013,0.9956398630227192,0.115,-0.142493327405958,"{'GAP': 0.028284921427713387, 'GLD': 0.0912405818040943, 'GM': 0.10820495714274153, 'JPM': 0.13740399724797622, 'META': 0.0374923502559507, 'NVDA': 0.41920223416778274, 'PLTR': 0.14286291317123134, 'SPY': 0.03530804478250952}"
13,sim_81584fd4-ffc1-4228-ade9-a64bbe679adf,2025-06-01,100000,1000,0.3584972676837628,0.3286938516674567,1.0602488179071308,0.113,-0.0727579086783167,"{'GAP': 0.1614952158174557, 'GLD': 0.3440110210248398, 'GM': 0.08176200384639899, 'JPM': 0.14109999499141176, 'META': 0.020631104210950366, 'NVDA': 0.15084261533424706, 'PLTR': 0.023127847142878414, 'SPY': 0.07703019763181783}"
14,sim_4cd13b86-678f-401a-843f-1fc71712146d,2025-06-01,100000,1000,0.4041696557341977,0.463774549594533,0.8499165296560813,0.149,-0.1187646481319321,"{'GAP': 0.24230043506819682, 'GLD': 0.24474623638378754, 'GM': 0.10953537100625534, 'JPM': 0.07011790150478256, 'META': 0.005409817913543863, 'NVDA': 0.016630681012491218, 'PLTR': 0.1583068480975938, 'SPY': 0.15295270901334873}"
15,sim_15333d0c-7180-4fda-affc-4a331e9a3dea,2025-06-01,100000,1000,0.2718723321763659,0.3780724304614229,0.6926512252077222,0.234,-0.1914448417844125,"{'GAP': 0.3278241817344912, 'GLD': 0.24091836356808793, 'GM': 0.14504472949523228, 'JPM': 0.01309071786979457, 'META': 0.11627627334428423, 'NVDA': 0.009513794787489569, 'PLTR': 0.012676760958915902, 'SPY': 0.13465517824170425}"
16,sim_e2f7a988-e6fc-4ee2-a179-a285e39434a1,2025-06-01,100000,1000,0.5856361698017729,0.6075497629729436,0.9474716391707456,0.125,-0.1274880076642928,"{'GAP': 0.09178075121162041, 'GLD': 0.16662647394011026, 'GM': 0.029030273270989636, 'JPM': 0.0339279847388645, 'META': 0.08198938336617566, 'NVDA': 0.36578078924997104, 'PLTR': 0.10721124168770012, 'SPY': 0.12365310253456838}"
17,sim_de321a3b-f31a-4bb9-9183-d0f7668674db,2025-06-01,100000,1000,0.4696552158017773,0.4947383948796643,0.9290874137908371,0.143,-0.1256551202748825,"{'GAP': 0.21094299594999896, 'GLD': 0.03019036691080537, 'GM': 0.02767709656465577, 'JPM': 0.14318139932955495, 'META': 0.15499438433558407, 'NVDA': 0.10321727745974749, 'PLTR': 0.12093885290242799, 'SPY': 0.20885762654722523}"
18,sim_cb162d25-d6bf-4b69-b381-4d4880edbf64,2025-06-01,100000,1000,0.682731549295413,0.8888620216541606,0.7568458691074104,0.175,-0.2212735943338294,"{'GAP': 0.1624613357363296, 'GLD': 0.1472612028881467, 'GM': 0.05427340201245078, 'JPM': 0.027530264547289105, 'META': 0.06618427617394801, 'NVDA': 0.03368002175773067, 'PLTR': 0.4097815763391386, 'SPY': 0.09882792054496661}"
19,sim_4ef89fd8-a0df-4f43-bd8c-407abde2cf68,2025-06-01,100000,1000,0.684742985806792,0.7100498468068585,0.9502755177557692,0.114,-0.1375624884949809,"{'GAP': 0.003637762700193886, 'GLD': 0.1952331980774974, 'GM': 0.037487521265440096, 'JPM': 0.0490295266904523, 'META': 0.11192237583710977, 'NVDA': 0.38768668260739525, 'PLTR': 0.19858358842271712, 'SPY': 0.016419344399194253}"
20,sim_1c6c6ae5-46f1-46e1-b91f-5b6478f66d60,2025-06-01,100000,1000,0.3831431365160111,0.4049528125655632,0.921448437787052,0.123,-0.1002180789980398,"{'GAP': 0.05884960990741015, 'GLD': 0.18669964126336133, 'GM': 0.07091483902844371, 'JPM': 0.12143944442174806, 'META': 0.10238873518369263, 'NVDA': 0.07098008071657645, 'PLTR': 0.13084284303524302, 'SPY': 0.2578848064435246}"
